Crossheadmm,LoadN,Timesec
12.37,66.81,74.200
12.38,66.77,74.300
12.4,66.7,74.400
12.42,66.55,74.500
12.43,66.37,74.600
12.45,66.46,74.700
12.47,66.34,74.800
12.48,66.38,74.900
12.5,66.4,75.000
12.52,66.15,75.100
12.53,66.12,75.200
12.55,66.02,75.300
12.57,66.0,75.400
12.58,64.43,75.500
12.6,63.86,75.600
12.62,63.62,75.700
12.63,63.49,75.800
12.65,63.13,75.900
12.67,63.01,76.000
12.68,62.95,76.100
12.7,62.75,76.200
12.72,62.92,76.300
12.73,62.42,76.400
12.75,62.22,76.500
12.77,61.97,76.600
12.78,61.77,76.700
12.8,61.38,76.800
12.82,60.52,76.900
12.83,59.49,77.000
12.85,59.04,77.100
12.87,58.46,77.200
12.88,58.21,77.300
12.9,57.85,77.400
12.92,57.7,77.500
12.93,57.55,77.600
12.95,57.25,77.700
12.97,57.15,77.800
12.98,56.95,77.900
13.0,56.79,78.000
13.02,56.83,78.100
13.03,56.54,78.200
13.05,56.37,78.300
13.07,56.35,78.400
13.08,56.36,78.500
13.1,56.16,78.600
13.12,55.99,78.700
13.13,55.97,78.800
13.15,55.86,78.900
13.17,55.93,79.000
13.18,55.81,79.100
13.2,55.92,79.200
13.22,55.89,79.300
13.23,55.66,79.400
13.25,55.64,79.500
13.27,55.63,79.600
13.28,55.52,79.700
13.3,55.64,79.800
13.32,55.57,79.900
13.33,55.22,80.000
13.35,55.36,80.100
13.37,55.28,80.200
13.38,54.86,80.300
13.4,54.89,80.400
13.42,54.6,80.500
13.43,54.51,80.600
13.45,54.47,80.700
13.47,54.25,80.800
13.48,53.78,80.900
13.5,53.63,81.000
13.52,53.49,81.100
13.53,53.17,81.200
13.55,53.09,81.300
13.57,52.95,81.400
13.58,53.04,81.500
13.6,52.81,81.600
13.62,52.86,81.700
13.63,52.65,81.800
13.65,52.57,81.900
13.67,52.32,82.000
13.68,52.32,82.100
13.7,52.11,82.200
13.72,52.02,82.300
13.73,51.69,82.400
13.75,51.59,82.500
13.77,51.35,82.600
13.78,51.1,82.700
13.8,50.88,82.800
13.82,50.77,82.900
13.83,50.61,83.000
13.85,50.62,83.100
13.87,50.29,83.200
13.88,50.1,83.300
13.9,49.87,83.400
13.92,49.68,83.500
13.93,49.44,83.600
13.95,49.07,83.700
13.97,48.84,83.800
13.98,48.66,83.900
14.0,48.36,84.000
14.02,48.24,84.100
14.03,48.12,84.200
14.05,47.91,84.300
14.07,47.78,84.400
14.08,47.74,84.500
14.1,47.62,84.600
14.12,47.49,84.700
14.13,47.49,84.800
14.15,47.41,84.900
14.17,47.06,85.000
14.18,47.09,85.100
14.2,46.97,85.200
14.22,46.69,85.300
14.23,46.54,85.400
14.25,46.53,85.500
14.27,46.53,85.600
14.28,46.29,85.700
14.3,46.16,85.800
14.32,46.04,85.900
14.33,46.06,86.000
14.35,45.76,86.100
14.37,45.63,86.200
14.38,45.51,86.300
14.4,45.34,86.400
14.42,45.33,86.500
14.43,45.16,86.600
14.45,45.24,86.700
14.47,45.14,86.800
14.48,45.25,86.900
14.5,44.98,87.000
14.52,44.87,87.100
14.53,44.63,87.200
14.55,44.69,87.300
14.57,44.66,87.400
14.58,44.46,87.500
14.6,44.35,87.600
14.62,44.4,87.700
14.63,44.4,87.800
14.65,44.13,87.900
14.67,44.01,88.000
14.68,44.16,88.100
14.7,44.03,88.200
14.72,43.83,88.300
14.73,43.86,88.400
14.75,43.9,88.500
14.77,43.93,88.600
14.78,43.69,88.700
14.8,43.55,88.800
14.82,43.46,88.900
14.83,43.07,89.000
14.85,42.77,89.100
14.87,42.04,89.200
14.88,41.38,89.300
14.9,40.92,89.400
14.92,40.65,89.500
14.93,40.22,89.600
14.95,40.24,89.700
14.97,39.72,89.800
14.98,39.47,89.900
15.0,39.42,90.000
15.02,39.14,90.100
15.03,39.06,90.200
15.05,38.99,90.300
15.07,38.77,90.400
15.08,38.71,90.500
15.1,38.36,90.600
15.12,38.27,90.700
15.13,37.94,90.800
15.15,37.57,90.900
15.17,37.37,91.000
15.18,37.11,91.100
15.2,36.72,91.200
15.22,36.73,91.300
15.23,36.4,91.400
15.25,36.23,91.500
15.27,36.16,91.600
15.28,35.91,91.700
15.3,35.66,91.800
15.32,35.5,91.900
15.33,35.36,92.000
15.35,35.33,92.100
15.37,35.17,92.200
15.38,35.09,92.300
15.4,34.97,92.400
15.42,34.73,92.500
15.43,34.63,92.600
15.45,34.69,92.700
15.47,34.34,92.800
