Crossheadmm,LoadN,Timesec
11.79,44.0,35.400
11.82,45.0,35.500
11.85,45.0,35.600
11.89,45.0,35.700
11.92,45.0,35.800
11.95,45.0,35.900
11.99,44.0,36.000
12.02,43.0,36.100
12.05,43.0,36.200
12.09,43.0,36.300
12.12,43.0,36.400
12.15,43.0,36.500
12.19,43.0,36.600
12.22,43.0,36.700
12.25,43.0,36.800
12.29,43.0,36.900
12.32,43.0,37.000
12.35,43.0,37.100
12.38,44.0,37.200
12.42,45.0,37.300
12.45,45.0,37.400
12.48,45.0,37.500
12.52,44.0,37.600
12.55,43.0,37.700
12.59,43.0,37.800
12.62,43.0,37.900
12.65,42.0,38.000
12.69,41.0,38.100
12.72,41.0,38.200
12.75,41.0,38.300
12.78,40.0,38.400
12.82,41.0,38.500
12.85,41.0,38.600
12.88,42.0,38.700
12.92,43.0,38.800
12.95,43.0,38.900
12.99,45.0,39.000
13.02,45.0,39.100
13.05,46.0,39.200
13.08,47.0,39.300
13.12,47.0,39.400
13.15,48.0,39.500
13.18,49.0,39.600
13.22,49.0,39.700
13.25,50.0,39.800
13.28,51.0,39.900
13.32,51.0,40.000
13.35,52.0,40.100
13.38,52.0,40.200
13.42,53.0,40.300
13.45,54.0,40.400
13.48,54.0,40.500
13.52,55.0,40.600
13.55,56.0,40.700
13.58,56.0,40.800
13.62,57.0,40.900
13.65,58.0,41.000
13.68,58.0,41.100
13.71,60.0,41.200
13.75,60.0,41.300
13.78,62.0,41.400
13.82,63.0,41.500
13.85,64.0,41.600
13.88,64.0,41.700
13.92,65.0,41.800
13.95,67.0,41.900
13.98,68.0,42.000
14.02,68.0,42.100
14.05,69.0,42.200
14.08,71.0,42.300
14.12,72.0,42.400
14.15,72.0,42.500
14.18,73.0,42.600
14.22,75.0,42.700
14.25,75.0,42.800
14.28,76.0,42.900
14.32,78.0,43.000
14.35,79.0,43.100
14.38,79.0,43.200
14.42,80.0,43.300
14.45,82.0,43.400
14.48,83.0,43.500
14.52,83.0,43.600
14.55,84.0,43.700
14.58,86.0,43.800
14.62,86.0,43.900
14.65,87.0,44.000
14.68,89.0,44.100
14.72,90.0,44.200
14.75,90.0,44.300
14.78,91.0,44.400
14.81,93.0,44.500
14.85,94.0,44.600
14.88,94.0,44.700
14.92,95.0,44.800
14.95,96.0,44.900
14.98,97.0,45.000
15.02,97.0,45.100
15.05,98.0,45.200
15.08,99.0,45.300
15.11,100.0,45.400
15.15,100.0,45.500
15.18,101.0,45.600
15.21,101.0,45.700
15.25,102.0,45.800
15.28,102.0,45.900
15.31,103.0,46.000
15.35,103.0,46.100
15.38,103.0,46.200
15.41,104.0,46.300
15.45,104.0,46.400
15.48,104.0,46.500
15.51,104.0,46.600
15.55,105.0,46.700
15.58,104.0,46.800
15.61,104.0,46.900
15.65,103.0,47.000
15.68,102.0,47.100
15.71,102.0,47.200
15.75,101.0,47.300
15.78,101.0,47.400
15.81,100.0,47.500
15.85,100.0,47.600
15.88,99.0,47.700
15.91,99.0,47.800
15.95,100.0,47.900
15.98,100.0,48.000
16.01,101.0,48.100
16.05,101.0,48.200
16.08,101.0,48.300
16.11,102.0,48.400
16.15,102.0,48.500
16.18,103.0,48.600
16.21,104.0,48.700
16.25,104.0,48.800
16.28,105.0,48.900
16.31,105.0,49.000
16.35,105.0,49.100
16.38,105.0,49.200
16.41,105.0,49.300
16.45,105.0,49.400
16.48,105.0,49.500
16.51,105.0,49.600
16.55,105.0,49.700
16.58,105.0,49.800
16.61,106.0,49.900
16.65,106.0,50.000
16.68,107.0,50.100
16.71,108.0,50.200
16.75,108.0,50.300
16.78,109.0,50.400
16.81,111.0,50.500
16.84,112.0,50.600
16.88,112.0,50.700
16.91,110.0,50.800
16.95,108.0,50.900
16.98,105.0,51.000
17.01,103.0,51.100
17.05,101.0,51.200
17.08,98.0,51.300
17.11,95.0,51.400
17.14,91.0,51.500
17.18,89.0,51.600
17.21,90.0,51.700
17.24,91.0,51.800
17.28,91.0,51.900
17.31,92.0,52.000
17.35,93.0,52.100
17.38,93.0,52.200
17.41,94.0,52.300
17.45,94.0,52.400
17.48,95.0,52.500
17.51,96.0,52.600
17.54,97.0,52.700
17.58,97.0,52.800
17.61,97.0,52.900
17.64,97.0,53.000
17.68,98.0,53.100
17.71,99.0,53.200
17.74,100.0,53.300
17.78,101.0,53.400
17.81,101.0,53.500
17.85,102.0,53.600
17.88,103.0,53.700
17.91,104.0,53.800
17.94,105.0,53.900
17.98,105.0,54.000
18.01,106.0,54.100
18.04,106.0,54.200
18.08,107.0,54.300
18.11,108.0,54.400
18.14,108.0,54.500
18.18,109.0,54.600
18.21,110.0,54.700
18.25,111.0,54.800
18.28,112.0,54.900
18.31,112.0,55.000
18.34,113.0,55.100
18.38,115.0,55.200
18.41,115.0,55.300
18.44,116.0,55.400
18.48,116.0,55.500
18.51,116.0,55.600
18.54,117.0,55.700
18.58,117.0,55.800
18.61,118.0,55.900
18.64,118.0,56.000
18.68,119.0,56.100
18.71,119.0,56.200
18.74,119.0,56.300
18.78,119.0,56.400
18.81,119.0,56.500
18.84,120.0,56.600
18.88,120.0,56.700
18.91,120.0,56.800
18.94,120.0,56.900
18.98,120.0,57.000
19.01,79.0,57.100
19.04,47.0,57.200
19.08,45.0,57.300
19.11,44.0,57.400
19.14,44.0,57.500
19.18,44.0,57.600
19.21,44.0,57.700
19.24,44.0,57.800
19.28,44.0,57.900
19.31,44.0,58.000
19.34,44.0,58.100
19.37,44.0,58.200
19.41,44.0,58.300
19.44,43.0,58.400
19.48,43.0,58.500
19.51,43.0,58.600
19.54,43.0,58.700
19.58,42.0,58.800
19.61,41.0,58.900
19.64,41.0,59.000
19.68,41.0,59.100
19.71,41.0,59.200
19.74,41.0,59.300
19.78,41.0,59.400
19.81,41.0,59.500
19.84,41.0,59.600
19.88,41.0,59.700
19.91,41.0,59.800
19.94,41.0,59.900
19.98,41.0,60.000
20.01,41.0,60.100
20.04,41.0,60.200
20.07,41.0,60.300
